ASN,Prefix,Max prefix length
AS36958,2c0f:fef0::/32,48
AS327942,196.13.111.0/24,24
AS327942,2001:43f8:b10::/48,48
AS327942,196.223.112.0/24,24
AS327942,196.223.113.0/24,24
AS327942,196.223.114.0/24,24
AS327942,196.223.115.0/24,24
AS327942,196.223.116.0/24,24
AS327942,196.223.117.0/24,24
AS327942,196.223.118.0/24,24
AS327942,196.223.119.0/24,24
AS327942,196.223.120.0/24,24
AS327942,196.223.121.0/24,24
AS327942,196.223.122.0/24,24
AS327942,196.223.123.0/24,24
AS327942,196.223.124.0/24,24
AS327942,196.223.125.0/24,24
AS327942,196.223.126.0/24,24
AS327942,196.223.127.0/24,24
AS327909,154.73.120.0/22,24
AS327909,154.65.88.0/21,24
AS327909,2c0f:f4e0::/32,32
AS327824,2c0f:f7b8::/32,36
AS327824,154.118.252.0/22,24
AS328512,102.64.16.0/20,24
AS328512,2c0f:edf8::/32,48
AS328232,102.134.176.0/20,24
AS328232,196.223.128.0/20,24
AS328232,2c0f:f2b8::/32,32
AS37002,41.213.128.0/17,24
AS37002,2c0f:f918::/32,48
AS327850,196.223.192.0/19,24
AS327804,2c0f:f050:f000::/36,36
AS327804,2c0f:f050:2000::/36,36
AS327804,2c0f:f050:b000::/36,36
AS327804,2c0f:f050:3000::/36,36
AS327804,2c0f:f050:5000::/36,36
AS327804,2c0f:f050:7000::/36,36
AS327804,2c0f:f050:d000::/36,36
AS327804,2c0f:f050:9000::/36,36
AS327804,154.68.164.0/22,22
AS327804,154.68.168.0/22,22
AS327804,2c0f:f050::/32,32
AS327804,2c0f:f050:6000::/36,36
AS327804,154.68.172.0/22,22
AS327804,2c0f:f050:e000::/36,36
AS327804,2c0f:f050:c000::/36,36
AS327804,2c0f:f050:a000::/36,36
AS327804,154.68.160.0/20,20
AS327804,2c0f:f050:1000::/36,36
AS327804,154.68.160.0/22,22
AS327804,2c0f:f050:4000::/36,36
AS327804,2c0f:f050::/36,36
AS328471,2c0f:ed58::/32,56
AS328471,102.66.0.0/16,24
AS328471,102.66.114.0/24,24
AS328461,102.68.0.0/22,24
AS328461,2c0f:ed40::/32,48
AS36924,102.142.0.0/16,24
AS36924,2c0f:f038::/32,48
AS6968,2001:43f8:30::/48,48
AS6968,196.216.230.0/23,24
AS327892,2c0f:f478::/32,32
AS328423,102.68.180.0/22,24
AS328423,2c0f:ecb0::/32,32
AS328339,102.134.72.0/22,24
AS328339,2c0f:ef48::/32,32
AS37521,197.255.252.0/24,24
AS37521,197.255.253.0/24,24
AS37521,197.255.254.0/24,24
AS37521,197.255.255.0/24,24
AS37521,102.165.124.0/24,24
AS37521,102.165.125.0/24,24
AS37521,102.165.126.0/24,24
AS37521,102.165.127.0/24,24
AS37712,41.79.89.0/24,24
AS37712,41.79.91.0/24,24
AS37712,41.79.88.0/24,24
AS37712,2c0f:fde8::/36,36
AS37712,41.79.90.0/24,24
AS327817,154.73.216.0/22,24
AS327817,2c0f:f798::/32,48
AS327917,2001:43f8:b30::/48,64
AS37403,41.79.148.0/22,24
AS37403,41.222.152.0/21,24
AS37403,41.242.40.0/21,24
AS37403,196.251.192.0/19,24
AS37403,2c0f:faf8::/32,64
AS36874,105.233.0.0/16,16
AS36874,196.22.240.0/20,20
AS36874,196.41.96.0/19,19
AS36874,196.22.240.0/21,21
AS36874,196.22.248.0/21,21
AS36874,196.41.112.0/20,20
AS36874,105.233.0.0/17,17
AS36874,196.41.96.0/20,20
AS36874,41.177.128.0/17,17
AS36874,2c0f:fbe0::/28,28
AS36874,105.233.128.0/17,17
AS36874,196.41.120.0/24,24
AS36874,41.177.0.0/16,16
AS36874,41.177.0.0/17,17
AS36874,41.177.0.0/16,18
AS36874,196.6.121.0/24,24
AS37682,102.68.108.0/24,24
AS37682,102.68.109.0/24,24
AS37682,102.68.110.0/24,24
AS37682,102.68.111.0/24,24
AS37682,196.50.4.0/24,24
AS37682,196.50.5.0/24,24
AS37682,196.50.6.0/24,24
AS37682,196.50.7.0/24,24
AS37682,154.73.8.0/24,24
AS37682,154.73.9.0/24,24
AS37682,154.73.10.0/24,24
AS37682,154.73.11.0/24,24
AS37682,102.176.244.0/24,24
AS37682,102.176.245.0/24,24
AS37682,102.176.246.0/24,24
AS37682,102.176.247.0/24,24
AS37682,2c0f:eac0:800::/37,37
AS37682,102.134.112.0/24,24
AS37682,102.134.113.0/24,24
AS37682,102.134.114.0/24,24
AS37682,102.134.115.0/24,24
AS327687,196.43.140.0/22,22
AS327687,196.43.162.0/24,24
AS327687,196.43.129.0/24,24
AS327687,196.43.178.0/24,24
AS327687,196.43.184.0/21,21
AS327687,196.43.154.0/24,24
AS327687,196.43.191.0/24,24
AS327687,196.43.159.0/24,24
AS327687,196.43.176.0/24,24
AS327687,196.43.147.0/24,24
AS327687,196.43.172.0/24,24
AS327687,196.43.144.0/21,21
AS327687,196.43.155.0/24,24
AS327687,196.43.169.0/24,24
AS327687,196.43.166.0/24,24
AS327687,196.43.190.0/24,24
AS327687,196.43.180.0/24,24
AS327687,196.43.158.0/24,24
AS327687,196.43.128.0/24,24
AS327687,196.43.160.0/24,24
AS327687,196.43.152.0/21,21
AS327687,196.43.138.0/24,24
AS327687,196.43.132.0/22,22
AS327687,196.43.149.0/24,24
AS327687,196.43.184.0/24,24
AS327687,196.43.163.0/24,24
AS327687,196.43.157.0/24,24
AS327687,196.43.168.0/21,21
AS327687,196.43.176.0/21,21
AS327687,196.43.189.0/24,24
AS327687,196.43.136.0/24,24
AS327687,196.43.150.0/24,24
AS327687,196.43.153.0/24,24
AS327687,196.43.171.0/24,24
AS327687,196.43.167.0/24,24
AS327687,196.43.161.0/24,24
AS327687,196.43.181.0/24,24
AS327687,196.43.140.0/23,23
AS327687,196.43.183.0/24,24
AS327687,196.43.175.0/24,24
AS327687,102.34.0.0/16,16
AS327687,2c0f:f6d0::/32,32
AS327687,196.43.177.0/24,24
AS327687,196.43.182.0/24,24
AS327687,196.43.128.0/21,21
AS327687,196.43.143.0/24,24
AS327687,196.43.170.0/24,24
AS327687,196.43.146.0/24,24
AS327687,196.43.130.0/24,24
AS327687,196.43.137.0/24,24
AS327687,196.43.185.0/24,24
AS327687,196.43.144.0/23,23
AS327687,196.43.139.0/24,24
AS327687,196.43.156.0/24,24
AS327687,196.43.160.0/21,21
AS327687,196.43.168.0/24,24
AS327687,196.43.164.0/23,23
AS327687,196.43.151.0/24,24
AS327687,196.43.179.0/24,24
AS327687,196.43.152.0/24,24
AS327687,196.43.188.0/24,24
AS327687,196.43.136.0/22,22
AS327687,196.43.131.0/24,24
AS327687,196.43.186.0/24,24
AS327687,196.43.187.0/24,24
AS327687,196.43.148.0/24,24
AS327687,196.43.174.0/24,24
AS327687,196.43.173.0/24,24
AS15022,196.44.32.0/20,24
AS15022,196.223.64.0/19,24
AS15022,197.255.144.0/20,24
AS15022,2001:43d8::/32,48
AS327941,2c0f:ea60:3800::/40,40
